epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1423.97,0.51145,0.19415,0.24162,0.29737,0.90207,0.99117,0.9947,0.99461,0.90766,0.9868,0.99002,0.98992,0.98951,0.47267,0.05952,0.00588,0.22857,0.8527,0.000247625,0.000247625,0.000247625
83,1439.91,0.52006,0.17738,0.24963,0.30207,0.90836,0.99331,0.9961,0.99441,0.90595,0.98879,0.9902,0.98984,0.98933,0.47432,0.05973,0.00643,0.23243,0.85051,0.00023525,0.00023525,0.00023525
84,1456.46,0.51094,0.16771,0.25021,0.2971,0.9025,0.98995,0.99643,0.99451,0.90348,0.98526,0.99175,0.9897,0.98918,0.4862,0.06079,0.00529,0.23174,0.85211,0.000222875,0.000222875,0.000222875
85,1472.77,0.50715,0.16633,0.24766,0.29813,0.9022,0.99058,0.99289,0.99473,0.90516,0.98589,0.98821,0.98988,0.98945,0.47246,0.06482,0.00659,0.23056,0.84935,0.0002105,0.0002105,0.0002105
86,1491.54,0.51677,0.1625,0.24166,0.29649,0.90264,0.99088,0.99486,0.99485,0.90874,0.98619,0.99018,0.99011,0.9897,0.46901,0.05847,0.00501,0.22746,0.852,0.000198125,0.000198125,0.000198125
87,1507.58,0.5055,0.17024,0.25373,0.29317,0.90328,0.99311,0.99546,0.9948,0.90697,0.98842,0.99078,0.98999,0.98956,0.46945,0.05797,0.006,0.22078,0.84985,0.00018575,0.00018575,0.00018575
88,1523.35,0.51307,0.16272,0.24369,0.29602,0.90656,0.99198,0.99663,0.99447,0.90801,0.98729,0.99195,0.98956,0.989,0.46485,0.05927,0.00593,0.22086,0.85037,0.000173375,0.000173375,0.000173375
89,1539.71,0.50124,0.15888,0.24145,0.28948,0.90158,0.99083,0.99591,0.99479,0.90858,0.98614,0.99123,0.98991,0.98923,0.46744,0.05837,0.00567,0.22184,0.85113,0.000161,0.000161,0.000161
90,1555.97,0.49809,0.17724,0.23602,0.29044,0.89948,0.99295,0.99554,0.99488,0.91033,0.98826,0.99086,0.99016,0.98941,0.46891,0.05909,0.0063,0.22111,0.8517,0.000148625,0.000148625,0.000148625
91,1577.06,0.45548,0.07171,0.0566,0.23897,0.85918,0.9918,0.99605,0.99485,0.90605,0.98711,0.99137,0.98986,0.98934,0.4652,0.05977,0.00552,0.22286,0.85104,0.00013625,0.00013625,0.00013625
92,1593.51,0.45326,0.06661,0.052,0.23247,0.85787,0.993,0.99635,0.99481,0.90809,0.98831,0.99167,0.99015,0.98971,0.47034,0.05632,0.00473,0.22577,0.85516,0.000123875,0.000123875,0.000123875
93,1609.43,0.44933,0.06102,0.04992,0.22644,0.85294,0.9942,0.9939,0.99493,0.91085,0.99079,0.98909,0.99071,0.99033,0.46137,0.05767,0.00421,0.21982,0.85084,0.0001115,0.0001115,0.0001115
94,1625.68,0.44661,0.0588,0.05311,0.22806,0.85987,0.99405,0.99692,0.9949,0.90941,0.99,0.99161,0.99035,0.98982,0.46776,0.05606,0.00392,0.21674,0.85274,9.9125e-05,9.9125e-05,9.9125e-05
95,1641.07,0.44559,0.06011,0.04864,0.22384,0.85531,0.99466,0.99594,0.99487,0.90945,0.98998,0.99126,0.9902,0.98974,0.46476,0.05514,0.00401,0.21633,0.85159,8.675e-05,8.675e-05,8.675e-05
96,1656.28,0.44327,0.0587,0.05701,0.21971,0.85918,0.99473,0.99642,0.99479,0.90917,0.99005,0.99174,0.9901,0.9896,0.46493,0.05461,0.00428,0.21494,0.85043,7.4375e-05,7.4375e-05,7.4375e-05
97,1671.33,0.44063,0.05746,0.05369,0.22041,0.85555,0.99485,0.99529,0.99486,0.91208,0.99017,0.9906,0.99029,0.98975,0.46074,0.05528,0.00422,0.21273,0.84795,6.2e-05,6.2e-05,6.2e-05
98,1687.14,0.4321,0.05574,0.05377,0.22179,0.85368,0.99538,0.99503,0.99496,0.91116,0.99154,0.99032,0.99033,0.98966,0.46055,0.05518,0.00415,0.21305,0.84772,4.9625e-05,4.9625e-05,4.9625e-05
99,1702.39,0.43519,0.05463,0.0515,0.21773,0.8535,0.99382,0.9955,0.99493,0.9113,0.98913,0.99082,0.99028,0.98964,0.45896,0.0547,0.00365,0.21223,0.84826,3.725e-05,3.725e-05,3.725e-05
100,1717.47,0.43443,0.0561,0.05614,0.21655,0.85625,0.99156,0.99762,0.9949,0.91122,0.98688,0.99294,0.99019,0.98964,0.45694,0.05335,0.00414,0.21151,0.84786,2.4875e-05,2.4875e-05,2.4875e-05
