epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1541.72,0.53735,0.16409,0.07475,0.32098,0.91139,0.99029,0.9963,0.99313,0.89166,0.98823,0.99423,0.99196,0.99196,0.51252,0.04111,0.00425,0.24803,0.87415,0.00043325,0.00043325,0.00043325
68,1564.04,0.54855,0.17264,0.07724,0.32364,0.92397,0.98982,0.99048,0.99336,0.89521,0.98788,0.98744,0.99211,0.99203,0.52564,0.05317,0.00283,0.255,0.87668,0.000420875,0.000420875,0.000420875
69,1586.88,0.54362,0.15854,0.07432,0.32099,0.91829,0.98816,0.99657,0.99395,0.89298,0.98714,0.99553,0.99363,0.99363,0.52015,0.03437,0.00322,0.24851,0.87687,0.0004085,0.0004085,0.0004085
70,1608.97,0.54924,0.14136,0.07529,0.32666,0.92251,0.98949,0.99782,0.99329,0.89461,0.98846,0.99678,0.99277,0.99277,0.51169,0.03433,0.00257,0.24863,0.87834,0.000396125,0.000396125,0.000396125
71,1631.45,0.54954,0.15494,0.07521,0.32321,0.92156,0.99127,0.99674,0.99408,0.8966,0.99024,0.9957,0.99383,0.99383,0.50749,0.03302,0.00291,0.24638,0.87244,0.00038375,0.00038375,0.00038375
72,1651.41,0.53407,0.13276,0.07014,0.31342,0.91591,0.9917,0.9932,0.99395,0.8964,0.9917,0.9932,0.99395,0.99395,0.50516,0.03228,0.00374,0.24503,0.87191,0.000371375,0.000371375,0.000371375
73,1671.19,0.54493,0.16116,0.07194,0.31744,0.91573,0.99095,0.99465,0.99362,0.89324,0.99022,0.99341,0.99362,0.99362,0.50979,0.03245,0.00281,0.24555,0.87268,0.000359,0.000359,0.000359
74,1690.94,0.5466,0.14953,0.07317,0.3201,0.92125,0.98982,0.99735,0.99412,0.89815,0.9888,0.99631,0.9941,0.9941,0.50997,0.03096,0.00235,0.24263,0.87257,0.000346625,0.000346625,0.000346625
75,1710.8,0.53146,0.13796,0.06713,0.3053,0.91276,0.98974,0.99848,0.99382,0.89555,0.99277,0.99493,0.99382,0.99382,0.507,0.02978,0.0026,0.24453,0.87366,0.00033425,0.00033425,0.00033425
76,1730.56,0.53261,0.1387,0.06882,0.31433,0.91445,0.99126,0.99684,0.99343,0.89978,0.99156,0.99591,0.99343,0.99343,0.5045,0.02942,0.00272,0.23974,0.87309,0.000321875,0.000321875,0.000321875
77,1750.34,0.52769,0.12006,0.06781,0.30704,0.9147,0.99077,0.99724,0.99298,0.8978,0.9908,0.99668,0.99298,0.99298,0.50665,0.0313,0.00219,0.24445,0.87151,0.0003095,0.0003095,0.0003095
78,1770.14,0.53285,0.13185,0.06525,0.30777,0.91242,0.99593,0.99567,0.99372,0.89857,0.99595,0.99545,0.99372,0.99372,0.50515,0.03151,0.00224,0.2372,0.87081,0.000297125,0.000297125,0.000297125
79,1789.77,0.52669,0.12049,0.06587,0.30668,0.91094,0.99425,0.99626,0.99385,0.90237,0.99484,0.99367,0.99385,0.99385,0.50264,0.02997,0.00265,0.23711,0.87369,0.00028475,0.00028475,0.00028475
80,1809.52,0.5222,0.11766,0.05994,0.29577,0.91044,0.9957,0.99333,0.9938,0.90333,0.99466,0.99229,0.99366,0.99366,0.49566,0.03117,0.00234,0.23923,0.86865,0.000272375,0.000272375,0.000272375
81,1829.31,0.52644,0.10582,0.06221,0.30035,0.91165,0.99414,0.99657,0.99422,0.90076,0.99311,0.99553,0.99417,0.99417,0.50089,0.02715,0.00217,0.23794,0.86902,0.00026,0.00026,0.00026
82,1848.99,0.51962,0.11633,0.06203,0.29776,0.90839,0.99463,0.99212,0.99382,0.90011,0.9936,0.99108,0.99376,0.99376,0.50425,0.02812,0.0026,0.23778,0.86868,0.000247625,0.000247625,0.000247625
83,1868.67,0.52123,0.11307,0.05723,0.29716,0.91212,0.99532,0.99607,0.99408,0.90135,0.99425,0.99504,0.99402,0.99402,0.49578,0.02919,0.00246,0.2341,0.86475,0.00023525,0.00023525,0.00023525
84,1888.5,0.51524,0.10736,0.05672,0.29497,0.9089,0.99334,0.99543,0.99339,0.89737,0.99231,0.99439,0.99278,0.99278,0.50121,0.02726,0.00229,0.23259,0.8681,0.000222875,0.000222875,0.000222875
85,1908.46,0.5091,0.10659,0.05819,0.28947,0.90661,0.99396,0.99311,0.99369,0.90487,0.99292,0.99207,0.99354,0.99354,0.49895,0.02632,0.00233,0.22995,0.86604,0.0002105,0.0002105,0.0002105
86,1928.32,0.51265,0.11308,0.06067,0.29271,0.90774,0.98878,0.99551,0.99349,0.90356,0.98774,0.99448,0.99308,0.99308,0.50408,0.02765,0.00205,0.2322,0.86783,0.000198125,0.000198125,0.000198125
87,1948.02,0.5071,0.10718,0.06066,0.29403,0.90626,0.99633,0.994,0.99417,0.90228,0.99529,0.99297,0.99414,0.99414,0.50106,0.02689,0.00221,0.23236,0.86621,0.00018575,0.00018575,0.00018575
88,1967.72,0.50587,0.0961,0.05672,0.28079,0.90339,0.99269,0.99627,0.99413,0.90404,0.99166,0.99523,0.99401,0.99401,0.49614,0.02473,0.00206,0.23147,0.86746,0.000173375,0.000173375,0.000173375
89,1987.51,0.50557,0.10972,0.05547,0.28439,0.90237,0.99504,0.99345,0.99337,0.90058,0.99398,0.99243,0.99287,0.99287,0.50016,0.02554,0.00248,0.23019,0.86574,0.000161,0.000161,0.000161
90,2007.21,0.50294,0.10515,0.05439,0.28232,0.90191,0.99158,0.99738,0.99369,0.9034,0.99055,0.99635,0.9933,0.9933,0.49748,0.02628,0.0023,0.22839,0.86811,0.000148625,0.000148625,0.000148625
91,2028.53,0.46028,0.03655,0.01281,0.23279,0.865,0.99296,0.99579,0.99376,0.89753,0.99191,0.99476,0.99369,0.99369,0.49865,0.02563,0.00201,0.22925,0.87112,0.00013625,0.00013625,0.00013625
92,2048,0.45537,0.03625,0.01044,0.23349,0.86765,0.99382,0.9965,0.99411,0.9023,0.99279,0.99546,0.99409,0.99409,0.49363,0.02519,0.00189,0.2284,0.87083,0.000123875,0.000123875,0.000123875
93,2067.5,0.45493,0.0319,0.00947,0.22951,0.8662,0.99159,0.99712,0.99411,0.90286,0.99057,0.99608,0.99398,0.99398,0.48786,0.02385,0.00146,0.22528,0.86947,0.0001115,0.0001115,0.0001115
94,2086.98,0.45207,0.03362,0.00967,0.22629,0.86459,0.99314,0.998,0.9939,0.9031,0.99211,0.99696,0.99366,0.99366,0.49413,0.02442,0.00153,0.22583,0.87098,9.9125e-05,9.9125e-05,9.9125e-05
95,2106.62,0.45218,0.03237,0.00946,0.22996,0.86189,0.99329,0.99732,0.99389,0.90291,0.99226,0.99628,0.99379,0.99379,0.49415,0.02318,0.00158,0.22457,0.86918,8.675e-05,8.675e-05,8.675e-05
96,2126.04,0.44529,0.03104,0.01054,0.22555,0.86406,0.99343,0.99802,0.9943,0.90501,0.9924,0.99699,0.99426,0.99426,0.49496,0.0231,0.00158,0.22063,0.87004,7.4375e-05,7.4375e-05,7.4375e-05
97,2145.54,0.4445,0.02984,0.0084,0.22288,0.86085,0.99545,0.99743,0.99401,0.90459,0.99442,0.99639,0.994,0.994,0.4935,0.02299,0.00141,0.22236,0.87046,6.2e-05,6.2e-05,6.2e-05
98,2165.17,0.44068,0.02924,0.01062,0.21894,0.86264,0.99498,0.99718,0.99419,0.90614,0.99395,0.99615,0.99415,0.99415,0.49562,0.02187,0.00132,0.21941,0.87169,4.9625e-05,4.9625e-05,4.9625e-05
99,2184.66,0.44239,0.02974,0.00933,0.21881,0.86188,0.99306,0.99805,0.99418,0.90707,0.99203,0.99702,0.99408,0.99408,0.48786,0.02209,0.0013,0.21632,0.86768,3.725e-05,3.725e-05,3.725e-05
100,2204.12,0.43896,0.02898,0.00898,0.21749,0.86063,0.99493,0.99596,0.99422,0.90673,0.9939,0.99492,0.9941,0.9941,0.48793,0.02206,0.00136,0.21649,0.86646,2.4875e-05,2.4875e-05,2.4875e-05
